card_id,qr_identity,candidate_uk_qr_url,candidate_au_qr_url,current_mapped_year,authoritative_observed_year,year_verification_confidence,physical_print_observed,discrepancy_status,official_uk_sku,official_uk_spotify_track_id,official_au_sku,official_au_spotify_track_id,playlist_spotify_track_id,playlist_title,playlist_artist,identity_confidence,source_evidence,non_authoritative_bopster_year,non_authoritative_musicbrainz_year,screening_flags
1,00001,https://hitstergame.com/uk/aaaa0005/00001,https://hitstergame.com/au/aaah0001/00001,1976,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,0KMGxYKeUzK9wc5DZCt3HT,aaah0001,0KMGxYKeUzK9wc5DZCt3HT,0KMGxYKeUzK9wc5DZCt3HT,If You Leave Me Now,Chicago,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00001; ordered title reference: https://open.spotify.com/track/0KMGxYKeUzK9wc5DZCt3HT; printed-year evidence: not available,1976,1976,none
2,00002,https://hitstergame.com/uk/aaaa0005/00002,https://hitstergame.com/au/aaah0001/00002,1987,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2tUBqZG2AbRi7Q0BIrVrEj,aaah0001,2tUBqZG2AbRi7Q0BIrVrEj,2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00002; ordered title reference: https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj; printed-year evidence: not available,1987,1987,none
3,00003,https://hitstergame.com/uk/aaaa0005/00003,https://hitstergame.com/au/aaah0001/00003,1981,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2dCmGcEOQrMQhMMS8Vj7Ca,aaah0001,2dCmGcEOQrMQhMMS8Vj7Ca,2dCmGcEOQrMQhMMS8Vj7Ca,Super Freak,Rick James,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00003; ordered title reference: https://open.spotify.com/track/2dCmGcEOQrMQhMMS8Vj7Ca; printed-year evidence: not available,1981,1981,none
4,00004,https://hitstergame.com/uk/aaaa0005/00004,https://hitstergame.com/au/aaah0001/00004,1960,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2G0GextMwZJLkNxcSZ7ZJ3,aaah0001,2G0GextMwZJLkNxcSZ7ZJ3,2G0GextMwZJLkNxcSZ7ZJ3,(What A) Wonderful World - Mono,Sam Cooke,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00004; ordered title reference: https://open.spotify.com/track/2G0GextMwZJLkNxcSZ7ZJ3; printed-year evidence: not available,1960,1995,musicbrainz_candidate_differs
5,00005,https://hitstergame.com/uk/aaaa0005/00005,https://hitstergame.com/au/aaah0001/00005,2016,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,27SdWb2rFzO6GWiYDBTD9j,aaah0001,27SdWb2rFzO6GWiYDBTD9j,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00005; ordered title reference: https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j; printed-year evidence: not available,2016,2015,musicbrainz_candidate_differs
6,00006,https://hitstergame.com/uk/aaaa0005/00006,https://hitstergame.com/au/aaah0001/00006,2013,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2vwlzO0Qp8kfEtzTsCXfyE,aaah0001,2vwlzO0Qp8kfEtzTsCXfyE,2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,Miley Cyrus,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00006; ordered title reference: https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE; printed-year evidence: not available,2013,2013,none
7,00007,https://hitstergame.com/uk/aaaa0005/00007,https://hitstergame.com/au/aaah0001/00007,2002,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,5pWRdriPCFhfz0JSswkdHo,aaah0001,5pWRdriPCFhfz0JSswkdHo,5pWRdriPCFhfz0JSswkdHo,Year 3000,Busted,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00007; ordered title reference: https://open.spotify.com/track/5pWRdriPCFhfz0JSswkdHo; printed-year evidence: not available,2002,2002,none
8,00008,https://hitstergame.com/uk/aaaa0005/00008,https://hitstergame.com/au/aaah0001/00008,1990,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,4gAU0cHQJFxj1n2ZDiEIzG,aaah0001,4gAU0cHQJFxj1n2ZDiEIzG,4gAU0cHQJFxj1n2ZDiEIzG,Step On - 2007 Remaster,Happy Mondays,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00008; ordered title reference: https://open.spotify.com/track/4gAU0cHQJFxj1n2ZDiEIzG; printed-year evidence: not available,1990,1990,none
9,00009,https://hitstergame.com/uk/aaaa0005/00009,https://hitstergame.com/au/aaah0001/00009,1990,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2He3NOyqtLNE3RQPpeDdSb,aaah0001,2He3NOyqtLNE3RQPpeDdSb,2He3NOyqtLNE3RQPpeDdSb,Groove Is in the Heart,Deee-Lite,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00009; ordered title reference: https://open.spotify.com/track/2He3NOyqtLNE3RQPpeDdSb; printed-year evidence: not available,1990,2001,musicbrainz_candidate_differs
10,00010,https://hitstergame.com/uk/aaaa0005/00010,https://hitstergame.com/au/aaah0001/00010,1976,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,1pBAsoHy7eN9aeVCTAiKua,aaah0001,1pBAsoHy7eN9aeVCTAiKua,1pBAsoHy7eN9aeVCTAiKua,Afternoon Delight,Starland Vocal Band,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00010; ordered title reference: https://open.spotify.com/track/1pBAsoHy7eN9aeVCTAiKua; printed-year evidence: not available,1976,1976,none
