answer_year,work_title,audio_title,audio_credit,relationship,priority,recognisability_0_10
1950,Cinderella,A Dream Is a Wish Your Heart Makes,Ilene Woods,signature-song,core,9
1951,Alice in Wonderland,Alice in Wonderland,Disney soundtrack cast / recording TBD,title-song,expansion,7
1952,High Noon,"Do Not Forsake Me, Oh My Darlin'",Tex Ritter,signature-song,expansion,8
1953,Peter Pan,You Can Fly! You Can Fly! You Can Fly!,Disney soundtrack cast / recording TBD,signature-song,expansion,8
1954,Three Coins in the Fountain,Three Coins in the Fountain,Frank Sinatra,title-song,expansion,8
1955,East of Eden,Main Title,Leonard Rosenman,main-theme,expansion,7
1956,Around the World in 80 Days,Around the World in 80 Days,Victor Young,main-theme,expansion,7
1957,The Bridge on the River Kwai,Colonel Bogey March / The River Kwai March,Malcolm Arnold / soundtrack recording TBD,signature-score,core,9
1958,The Big Country,Main Title,Jerome Moross,main-theme,expansion,7
1959,Ben-Hur,Prelude / Main Title,Miklós Rózsa,main-theme,expansion,8
1960,Psycho,Prelude,Bernard Herrmann,main-theme,core,9
1960,The Magnificent Seven,Main Title,Elmer Bernstein,main-theme,core,9
1961,Breakfast at Tiffany's,Moon River,Audrey Hepburn / Henry Mancini,signature-song,core,9
1962,Dr. No,James Bond Theme,John Barry / Monty Norman,main-theme,core,10
1962,Lawrence of Arabia,Main Title,Maurice Jarre,main-theme,core,9
1963,The Pink Panther,The Pink Panther Theme,Henry Mancini,main-theme,core,10
1964,A Fistful of Dollars,Main Title,Ennio Morricone,main-theme,expansion,8
1964,Goldfinger,Goldfinger,Shirley Bassey,title-song,core,10
1965,Doctor Zhivago,Lara's Theme,Maurice Jarre,main-theme,core,9
1965,The Sound of Music,The Sound of Music,Julie Andrews,title-song,core,10
1966,"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly",Ennio Morricone,main-theme,core,10
1967,The Graduate,Mrs. Robinson,Simon & Garfunkel,signature-song,core,9
1967,You Only Live Twice,You Only Live Twice,Nancy Sinatra,title-song,core,9
1968,2001: A Space Odyssey,Also sprach Zarathustra: Prelude,Richard Strauss / soundtrack recording TBD,signature-score,core,9
1968,Once Upon a Time in the West,Once Upon a Time in the West,Ennio Morricone,main-theme,expansion,8
1969,Midnight Cowboy,Everybody's Talkin',Harry Nilsson,signature-song,expansion,8
1969,On Her Majesty's Secret Service,On Her Majesty's Secret Service,John Barry,main-theme,expansion,8
1970,Love Story,Theme from Love Story,Francis Lai,main-theme,expansion,8
1971,Shaft,Theme from Shaft,Isaac Hayes,title-song,core,10
1972,The Godfather,Love Theme from The Godfather,Nino Rota,main-theme,core,10
1973,Enter the Dragon,Main Title,Lalo Schifrin,main-theme,expansion,8
1973,The Exorcist,Tubular Bells,Mike Oldfield,signature-song,core,9
1974,The Man with the Golden Gun,The Man with the Golden Gun,Lulu,title-song,expansion,7
1975,Jaws,Main Title and First Victim,John Williams,main-theme,core,10
1976,Rocky,Gonna Fly Now,Bill Conti,main-theme,core,10
1977,Saturday Night Fever,Stayin' Alive,Bee Gees,signature-song,core,10
1977,Star Wars,Main Title,John Williams,main-theme,core,10
1978,Grease,You're the One That I Want,John Travolta & Olivia Newton-John,signature-song,core,10
1978,Halloween,Halloween Theme,John Carpenter,main-theme,core,10
1978,Superman,Superman March,John Williams,main-theme,core,10
1979,Alien,Main Title,Jerry Goldsmith,main-theme,expansion,8
1980,Flash Gordon,Flash,Queen,title-song,core,9
1980,The Empire Strikes Back,The Imperial March,John Williams,signature-score,core,10
1981,Chariots of Fire,Chariots of Fire,Vangelis,main-theme,core,10
1981,Raiders of the Lost Ark,Raiders March,John Williams,main-theme,core,10
1982,Blade Runner,Main Titles,Vangelis,main-theme,core,9
1982,E.T. the Extra-Terrestrial,Flying Theme,John Williams,main-theme,core,10
1982,Rocky III,Eye of the Tiger,Survivor,signature-song,core,10
1983,Return of the Jedi,Main Title / The Story Continues,John Williams,main-theme,core,9
1983,Scarface,Push It to the Limit,Paul Engemann,signature-song,expansion,8
1984,Beverly Hills Cop,Axel F,Harold Faltermeyer,main-theme,core,10
