title,artist,priority,recognisability_0_10,qualification_basis,match_state,candidate_count,song_id,canonical_title,canonical_artist,answer_year,release_state,existing_modes,spotify_state,youtube_state
Earth Angel,The Penguins,core,9,US technical / cultural,exact,1,song_0cb5f327cae9eea18bc3,Earth Angel,The Penguins,1954,externally_observed,greatest,missing,missing
Book of Love,The Monotones,core,8,US technical / cultural,unmatched,0,,,,,,,missing,missing
Tequila,The Champs,core,10,US technical / cultural,exact,1,song_0b3fbe1381c795d69509,Tequila,The Champs,1958,externally_observed,greatest,missing,missing
Chantilly Lace,The Big Bopper,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
Get a Job,The Silhouettes,core,8,US technical / cultural,unmatched,0,,,,,,,missing,missing
Sea of Love,Phil Phillips,core,9,US technical / cultural,exact,1,song_4783d49ebe9ce32740ce,Sea of Love,Phil Phillips,1959,externally_observed,greatest,missing,missing
Rockin' Robin,Bobby Day,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
Teen Angel,Mark Dinning,core,8,US technical / cultural,exact,1,song_76809d10b1d311bd6857,Teen Angel,Mark Dinning,1959,externally_observed,greatest,candidate,missing
Hey! Baby,Bruce Channel,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
Monster Mash,Bobby Pickett,core,10,US technical / cultural,unmatched,0,,,,,,,missing,missing
Wipe Out,The Surfaris,core,10,US technical / cultural,unmatched,0,,,,,,,missing,missing
Hey Paula,Paul & Paula,core,8,US technical,unmatched,0,,,,,,,missing,missing
Sukiyaki,Kyu Sakamoto,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Dominique,The Singing Nun,core,8,international one-hit identity,unmatched,0,,,,,,,missing,missing
Rhythm of the Rain,The Cascades,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
Last Kiss,J. Frank Wilson and the Cavaliers,core,8,US technical / cultural,unmatched,0,,,,,,,missing,missing
Eve of Destruction,Barry McGuire,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
"They're Coming to Take Me Away, Ha-Haaa!",Napoleon XIV,core,8,US technical / novelty,unmatched,0,,,,,,,missing,missing
Psychotic Reaction,Count Five,core,8,US technical / cultural,unmatched,0,,,,,,,missing,missing
Black Is Black,Los Bravos,core,8,international one-hit identity,unmatched,0,,,,,,,missing,missing
Green Tambourine,The Lemon Pipers,core,8,US technical / cultural,unmatched,0,,,,,,,missing,missing
In-A-Gadda-Da-Vida,Iron Butterfly,core,9,one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
In the Year 2525,Zager & Evans,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Na Na Hey Hey Kiss Him Goodbye,Steam,core,10,US technical / cultural,unmatched,0,,,,,,,missing,missing
Spirit in the Sky,Norman Greenbaum,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Love Grows (Where My Rosemary Goes),Edison Lighthouse,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
Ride Captain Ride,Blues Image,core,8,US technical,unmatched,0,,,,,,,missing,missing
Mississippi Queen,Mountain,core,9,one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
O-o-h Child,Five Stairsteps,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
Vehicle,The Ides of March,core,8,US technical,unmatched,0,,,,,,,missing,missing
Put Your Hand in the Hand,Ocean,core,8,international one-hit identity,unmatched,0,,,,,,,missing,missing
Mr. Big Stuff,Jean Knight,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
Dancing in the Moonlight,King Harvest,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
Popcorn,Hot Butter,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
Brandy (You're a Fine Girl),Looking Glass,core,10,US technical / cultural,unmatched,0,,,,,,,missing,missing
Dueling Banjos,Eric Weissberg & Steve Mandell,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
Brother Louie,Stories,core,8,US technical,unmatched,0,,,,,,,missing,missing
The Night the Lights Went Out in Georgia,Vicki Lawrence,core,9,US technical / cultural,unmatched,0,,,,,,,missing,missing
Kung Fu Fighting,Carl Douglas,core,10,international one-hit identity,exact,1,song_c487037af5e8f8f06405,Kung Fu Fighting,Carl Douglas,1974,externally_observed,greatest,missing,missing
Seasons in the Sun,Terry Jacks,core,10,international one-hit identity,exact,1,song_c2ab7dff4dd095cb3271,Seasons in the Sun,Terry Jacks,1974,unresolved,greatest,candidate,missing
Beach Baby,The First Class,core,8,international one-hit identity,unmatched,0,,,,,,,missing,missing
The Night Chicago Died,Paper Lace,core,9,US one-hit identity,unmatched,0,,,,,,,missing,missing
The Hustle,Van McCoy,core,10,US technical / cultural,unmatched,0,,,,,,,missing,missing
Afternoon Delight,Starland Vocal Band,core,10,US technical / cultural,unmatched,0,,,,,,,missing,missing
Play That Funky Music,Wild Cherry,core,10,US technical / cultural,exact,1,song_b0e69780e6e9f45aff64,Play That Funky Music,Wild Cherry,1976,externally_observed,greatest,candidate,missing
Fooled Around and Fell in Love,Elvin Bishop,core,9,one-mainstream-hit identity,unmatched,0,,,,,,,missing,missing
Undercover Angel,Alan O'Day,core,8,US technical,unmatched,0,,,,,,,missing,missing
Jeans On,David Dundas,core,8,international one-hit identity,unmatched,0,,,,,,,missing,missing
Magnet and Steel,Walter Egan,core,8,US technical,unmatched,0,,,,,,,missing,missing
Hot Child in the City,Nick Gilder,core,9,US technical,unmatched,0,,,,,,,missing,missing
King Tut,Steve Martin,core,8,novelty one-hit recording artist,unmatched,0,,,,,,,missing,missing
Driver's Seat,Sniff 'n' the Tears,core,9,international one-hit identity,unmatched,0,,,,,,,missing,missing
Born to Be Alive,Patrick Hernandez,core,10,international one-hit identity,unmatched,0,,,,,,,missing,missing
