title,artist,priority,recognisability_0_10,qualification_basis
Earth Angel,The Penguins,core,9,US technical / cultural
Book of Love,The Monotones,core,8,US technical / cultural
Tequila,The Champs,core,10,US technical / cultural
Chantilly Lace,The Big Bopper,core,9,US technical / cultural
Get a Job,The Silhouettes,core,8,US technical / cultural
Sea of Love,Phil Phillips,core,9,US technical / cultural
Rockin' Robin,Bobby Day,core,9,US technical / cultural
Teen Angel,Mark Dinning,core,8,US technical / cultural
Hey! Baby,Bruce Channel,core,9,US technical / cultural
Monster Mash,Bobby Pickett,core,10,US technical / cultural
Wipe Out,The Surfaris,core,10,US technical / cultural
Hey Paula,Paul & Paula,core,8,US technical
Sukiyaki,Kyu Sakamoto,core,10,international one-hit identity
Dominique,The Singing Nun,core,8,international one-hit identity
Rhythm of the Rain,The Cascades,core,9,US technical / cultural
Last Kiss,J. Frank Wilson and the Cavaliers,core,8,US technical / cultural
Eve of Destruction,Barry McGuire,core,9,US technical / cultural
"They're Coming to Take Me Away, Ha-Haaa!",Napoleon XIV,core,8,US technical / novelty
Psychotic Reaction,Count Five,core,8,US technical / cultural
Black Is Black,Los Bravos,core,8,international one-hit identity
Green Tambourine,The Lemon Pipers,core,8,US technical / cultural
In-A-Gadda-Da-Vida,Iron Butterfly,core,9,one-mainstream-hit identity
In the Year 2525,Zager & Evans,core,10,international one-hit identity
Na Na Hey Hey Kiss Him Goodbye,Steam,core,10,US technical / cultural
Spirit in the Sky,Norman Greenbaum,core,10,international one-hit identity
Love Grows (Where My Rosemary Goes),Edison Lighthouse,core,9,international one-hit identity
Ride Captain Ride,Blues Image,core,8,US technical
Mississippi Queen,Mountain,core,9,one-mainstream-hit identity
O-o-h Child,Five Stairsteps,core,9,US technical / cultural
Vehicle,The Ides of March,core,8,US technical
Put Your Hand in the Hand,Ocean,core,8,international one-hit identity
Mr. Big Stuff,Jean Knight,core,9,US technical / cultural
Dancing in the Moonlight,King Harvest,core,10,international one-hit identity
Popcorn,Hot Butter,core,9,international one-hit identity
