answer_year,original_title,original_artist,played_version,remixer,priority,recognisability_0_10
1967,Beggin',Frankie Valli & The Four Seasons,Beggin' (Pilooski Re-edit),Pilooski,expansion,8
1968,A Little Less Conversation,Elvis Presley,A Little Less Conversation (JXL Radio Edit Remix),Junkie XL,core,10
1971,Sun Is Shining,Bob Marley & The Wailers,Sun Is Shining (Funkstar De Luxe Remix),Funkstar De Luxe,core,9
1977,I Feel Love,Donna Summer,I Feel Love (Patrick Cowley Mega Mix),Patrick Cowley,expansion,8
1978,Rasputin,Boney M.,Rasputin (Majestic Remix),Majestic,core,9
1983,Blue Monday,New Order,Blue Monday '88,Quincy Jones / John Potoker remix version,core,9
1987,Tom's Diner,Suzanne Vega,Tom's Diner (DNA Remix),DNA,core,10
1989,Infinity,Guru Josh,Infinity 2008 (Klaas Vocal Edit),Klaas,core,9
1994,Missing,Everything But The Girl,Missing (Todd Terry Remix Radio Edit),Todd Terry,core,10
1995,Renegade Master,Wildchild,Renegade Master (Fatboy Slim Old Skool Mix),Fatboy Slim,core,9
1996,Professional Widow,Tori Amos,Professional Widow (Armand's Star Trunk Funkin' Mix),Armand Van Helden,core,9
1997,Brimful of Asha,Cornershop,Brimful of Asha (Norman Cook Remix Single Version),Norman Cook,core,10
1998,Sing It Back,Moloko,Sing It Back (Boris Dlugosch Musical Mix),Boris Dlugosch,core,9
1999,I See You Baby,Groove Armada,I See You Baby (Fatboy Slim Remix),Fatboy Slim,expansion,8
2005,The Creeps,Camille Jones,The Creeps (Fedde Le Grand Remix),Fedde Le Grand,expansion,8
2007,Electric Feel,MGMT,Electric Feel (Justice Remix),Justice,core,9
2007,Baby,Pnau,Baby (Breakbot Remix),Breakbot,expansion,8
2008,Sweet Disposition,The Temper Trap,Sweet Disposition (Axwell & Dirty South Remix),Axwell & Dirty South,core,10
2008,Walking on a Dream,Empire of the Sun,Walking on a Dream (Sam La More Remix),Sam La More,core,9
2009,Heads Will Roll,Yeah Yeah Yeahs,Heads Will Roll (A-Trak Remix),A-Trak,core,10
2009,Pursuit of Happiness,Kid Cudi,Pursuit of Happiness (Steve Aoki Remix),Steve Aoki,core,10
2009,In for the Kill,La Roux,In for the Kill (Skream's Let's Get Ravey Remix),Skream,core,9
2009,This Girl,Cookin' on 3 Burners feat. Kylie Auldist,This Girl (Kungs vs Cookin' on 3 Burners),Kungs,core,9
2009,Shooting Stars,Bag Raiders,Shooting Stars (Cassian Remix),Cassian,expansion,8
2010,Prayer in C,Lilly Wood & The Prick,Prayer in C (Robin Schulz Remix),Robin Schulz,core,10
2010,Crave You,Flight Facilities feat. Giselle,Crave You (Adventure Club Dubstep Remix),Adventure Club,expansion,8
2011,I Follow Rivers,Lykke Li,I Follow Rivers (The Magician Remix),The Magician,core,10
2011,Spectrum,Florence + the Machine,Spectrum (Say My Name) (Calvin Harris Remix),Calvin Harris,core,10
2011,Somebody That I Used to Know,Gotye feat. Kimbra,Somebody That I Used to Know (Tiësto Remix),Tiësto,core,9
2012,Summertime Sadness,Lana Del Rey,Summertime Sadness (Cedric Gervais Remix),Cedric Gervais,core,10
2012,Cheerleader,OMI,Cheerleader (Felix Jaehn Remix),Felix Jaehn,core,10
2013,Waves,Mr. Probz,Waves (Robin Schulz Remix),Robin Schulz,core,10
2013,You & Me,Disclosure feat. Eliza Doolittle,You & Me (Flume Remix),Flume,core,10
2013,Tennis Court,Lorde,Tennis Court (Flume Remix),Flume,core,9
2015,I Took a Pill in Ibiza,Mike Posner,I Took a Pill in Ibiza (Seeb Remix),Seeb,core,10
2015,Innerbloom,RÜFÜS DU SOL,Innerbloom (What So Not Remix),What So Not,core,9
2015,Let It Happen,Tame Impala,Let It Happen (Soulwax Remix),Soulwax,core,9
2016,Roses,SAINt JHN,Roses (Imanbek Remix),Imanbek,core,10
2017,Love Tonight,Shouse,Love Tonight (David Guetta Remix Edit),David Guetta,core,9
