answer_year,work_title,audio_title,audio_credit,relationship,priority,recognisability_0_10
1951,I Love Lucy,I Love Lucy Theme,Eliot Daniel,main-theme,core,9
1955,Alfred Hitchcock Presents,Funeral March of a Marionette,Charles Gounod / soundtrack recording TBD,main-theme,expansion,8
1957,Perry Mason,Park Avenue Beat,Fred Steiner,main-theme,expansion,8
1958,Peter Gunn,Peter Gunn Theme,Henry Mancini,main-theme,core,9
1959,The Twilight Zone,The Twilight Zone Theme,Marius Constant,main-theme,core,10
1960,The Andy Griffith Show,The Fishin' Hole,Earle Hagen,main-theme,expansion,8
1960,The Flintstones,Meet the Flintstones,Hoyt Curtin,main-theme,core,10
1961,Mister Ed,Mister Ed,Jay Livingston & Ray Evans,main-theme,expansion,8
1962,The Beverly Hillbillies,The Ballad of Jed Clampett,Lester Flatt & Earl Scruggs,main-theme,core,9
1962,The Jetsons,The Jetsons Theme,Hoyt Curtin,main-theme,core,9
1963,Doctor Who,Doctor Who Theme,Ron Grainer / Delia Derbyshire,main-theme,core,10
1964,The Addams Family,The Addams Family Theme,Vic Mizzy,main-theme,core,10
1964,Gilligan's Island,The Ballad of Gilligan's Isle,George Wyle / cast recording TBD,main-theme,core,9
1964,Bewitched,Bewitched Theme,Howard Greenfield & Jack Keller,main-theme,core,9
1965,I Dream of Jeannie,Jeannie Theme,Hugo Montenegro,main-theme,core,9
1965,Get Smart,Get Smart Theme,Irving Szathmary,main-theme,core,9
1966,Batman,Batman Theme,Neal Hefti,main-theme,core,10
1966,Star Trek,Star Trek Theme,Alexander Courage,main-theme,core,10
1966,Mission: Impossible,Mission: Impossible Theme,Lalo Schifrin,main-theme,core,10
1966,The Monkees,(Theme From) The Monkees,The Monkees,main-theme,core,9
1966,Play School,There's a Bear in There,Richard Connolly / Rosemary Milne,main-theme,core,9
1967,The Prisoner,The Prisoner Theme,Ron Grainer,main-theme,expansion,8
1967,Spider-Man,Spider-Man Theme,Paul Francis Webster & Bob Harris / recording TBD,main-theme,core,10
1968,Hawaii Five-O,Hawaii Five-O Theme,Morton Stevens,main-theme,core,10
1968,Skippy the Bush Kangaroo,Skippy Theme,Eric Jupp,main-theme,core,9
1969,The Brady Bunch,The Brady Bunch Theme,Sherwood Schwartz / Frank De Vol / recording TBD,main-theme,core,9
1969,"Scooby-Doo, Where Are You!","Scooby-Doo, Where Are You! Theme",David Mook & Ben Raleigh / recording TBD,main-theme,core,10
1969,Sesame Street,Can You Tell Me How to Get to Sesame Street?,Joe Raposo,main-theme,core,10
1970,The Mary Tyler Moore Show,Love Is All Around,Sonny Curtis,main-theme,core,9
1970,Josie and the Pussycats,Josie and the Pussycats,Hoyt Curtin / William Hanna / Joseph Barbera,main-theme,expansion,7
