card_id,expected_card_number,candidate_uk_qr_url,candidate_au_qr_url,observed_qr_payload,printed_year,edition_sku,box_article_or_ean,photo_qr,photo_year,observer,observed_at,second_checker,notes
1,00001,https://hitstergame.com/uk/aaaa0005/00001,https://hitstergame.com/au/aaah0001/00001,,,,,,,,,,
2,00002,https://hitstergame.com/uk/aaaa0005/00002,https://hitstergame.com/au/aaah0001/00002,,,,,,,,,,
3,00003,https://hitstergame.com/uk/aaaa0005/00003,https://hitstergame.com/au/aaah0001/00003,,,,,,,,,,
4,00004,https://hitstergame.com/uk/aaaa0005/00004,https://hitstergame.com/au/aaah0001/00004,,,,,,,,,,
5,00005,https://hitstergame.com/uk/aaaa0005/00005,https://hitstergame.com/au/aaah0001/00005,,,,,,,,,,
6,00006,https://hitstergame.com/uk/aaaa0005/00006,https://hitstergame.com/au/aaah0001/00006,,,,,,,,,,
7,00007,https://hitstergame.com/uk/aaaa0005/00007,https://hitstergame.com/au/aaah0001/00007,,,,,,,,,,
8,00008,https://hitstergame.com/uk/aaaa0005/00008,https://hitstergame.com/au/aaah0001/00008,,,,,,,,,,
9,00009,https://hitstergame.com/uk/aaaa0005/00009,https://hitstergame.com/au/aaah0001/00009,,,,,,,,,,
10,00010,https://hitstergame.com/uk/aaaa0005/00010,https://hitstergame.com/au/aaah0001/00010,,,,,,,,,,
11,00011,https://hitstergame.com/uk/aaaa0005/00011,https://hitstergame.com/au/aaah0001/00011,,,,,,,,,,
12,00012,https://hitstergame.com/uk/aaaa0005/00012,https://hitstergame.com/au/aaah0001/00012,,,,,,,,,,
13,00013,https://hitstergame.com/uk/aaaa0005/00013,https://hitstergame.com/au/aaah0001/00013,,,,,,,,,,
14,00014,https://hitstergame.com/uk/aaaa0005/00014,https://hitstergame.com/au/aaah0001/00014,,,,,,,,,,
15,00015,https://hitstergame.com/uk/aaaa0005/00015,https://hitstergame.com/au/aaah0001/00015,,,,,,,,,,
16,00016,https://hitstergame.com/uk/aaaa0005/00016,https://hitstergame.com/au/aaah0001/00016,,,,,,,,,,
17,00017,https://hitstergame.com/uk/aaaa0005/00017,https://hitstergame.com/au/aaah0001/00017,,,,,,,,,,
18,00018,https://hitstergame.com/uk/aaaa0005/00018,https://hitstergame.com/au/aaah0001/00018,,,,,,,,,,
19,00019,https://hitstergame.com/uk/aaaa0005/00019,https://hitstergame.com/au/aaah0001/00019,,,,,,,,,,
20,00020,https://hitstergame.com/uk/aaaa0005/00020,https://hitstergame.com/au/aaah0001/00020,,,,,,,,,,
21,00021,https://hitstergame.com/uk/aaaa0005/00021,https://hitstergame.com/au/aaah0001/00021,,,,,,,,,,
22,00022,https://hitstergame.com/uk/aaaa0005/00022,https://hitstergame.com/au/aaah0001/00022,,,,,,,,,,
23,00023,https://hitstergame.com/uk/aaaa0005/00023,https://hitstergame.com/au/aaah0001/00023,,,,,,,,,,
24,00024,https://hitstergame.com/uk/aaaa0005/00024,https://hitstergame.com/au/aaah0001/00024,,,,,,,,,,
25,00025,https://hitstergame.com/uk/aaaa0005/00025,https://hitstergame.com/au/aaah0001/00025,,,,,,,,,,
26,00026,https://hitstergame.com/uk/aaaa0005/00026,https://hitstergame.com/au/aaah0001/00026,,,,,,,,,,
27,00027,https://hitstergame.com/uk/aaaa0005/00027,https://hitstergame.com/au/aaah0001/00027,,,,,,,,,,
28,00028,https://hitstergame.com/uk/aaaa0005/00028,https://hitstergame.com/au/aaah0001/00028,,,,,,,,,,
29,00029,https://hitstergame.com/uk/aaaa0005/00029,https://hitstergame.com/au/aaah0001/00029,,,,,,,,,,
